"","uid","group","aa_ng","as_ng","dd_ng","in_ng","ii_ng","ng"
"1","1402020007","cont",0.6,0,0.75,-0.6,-1.5,0
"2","1402020008","exp",-4,-Inf,-Inf,0.285714285714286,-Inf,-1.5
"3","1402020016","exp",0,0,0,0.166666666666667,-0.333333333333333,0
"4","1402020018","exp",-3,0,-1,0.285714285714286,-0.5,-0.286
"5","1402020019","exp",-0.5,1,0.6,0.166666666666667,-2,0.158
"6","1402020020","exp",0,0.5,-0.666666666666667,0.166666666666667,-1,-0.05
"7","1402020025","cont",0,0.5,0,0,0,0.077
"8","1402020033","cont",-2,0,-Inf,0.428571428571429,-Inf,-1.182
"9","1402020035","cont",0.166666666666667,0.5,-3,-1,0,-0.176
"10","1402020039","cont",0.4,-0.333333333333333,0,-0.2,0.666666666666667,0.095
"11","1402020047","exp",0.5,0.5,-1,0.166666666666667,-1,0.1
"12","1402020058","cont",0,0.4,0,0.285714285714286,0.6,0.292
"13","1402020059","exp",0,0,0,0.166666666666667,0.333333333333333,0.1
"14","1402020061","cont",-0.333333333333333,0,-0.5,-0.25,0.333333333333333,-0.143
"15","1402020064","cont",0.25,0.333333333333333,-0.333333333333333,0,-0.5,0
"16","1402020065","exp",0,0.5,-4,0.166666666666667,-1,-0.188
"17","1402020067","cont",0,NA,0,-0.4,0.5,-0.071
"18","1402020072","exp",-Inf,-1,-0.333333333333333,0,0,-0.545
"19","1402020073","cont",0.333333333333333,0.75,-3,0,0,0.062
"20","1402020075","cont",0.25,0.5,-Inf,-2,-1.5,-0.583
"21","1402020076","cont",0,-0.333333333333333,0.333333333333333,0,-0.333333333333333,-0.059
"22","1402020079","exp",-0.666666666666667,0.333333333333333,0,0,-1,-0.176
"23","1402020081","exp",-1,0,-0.333333333333333,-0.666666666666667,0.5,-0.105
"24","1402020086","cont",0.75,-0.5,0.4,-0.2,0.666666666666667,0.263
"25","1402020087","exp",0,-1,-1,-0.142857142857143,-1.66666666666667,-0.609
"26","1402020097","cont",0,0,0.333333333333333,-0.25,-0.6,-0.176
"27","1402020102","exp",0,-1,-3,0.285714285714286,-0.333333333333333,-0.176
"28","1402020107","exp",0.333333333333333,0,0.333333333333333,0,0.4,0.222
"29","1402020111","exp",-1.5,0,-0.5,0.166666666666667,-3,-0.462
"30","1402020112","exp",0.2,0.333333333333333,0.285714285714286,0,0.166666666666667,0.179
"31","1402020114","exp",0.25,0.333333333333333,-0.5,0,-0.6,-0.1
"32","1402020121","exp",0.4,0.5,0,0,-0.666666666666667,0.1
"33","1402020124","cont",0.2,0,0.5,0.166666666666667,0,0.167
"34","1402020128","cont",-0.333333333333333,-1,-0.2,0,0,-0.15
"35","1402020132","exp",0.333333333333333,0,-0.333333333333333,0.166666666666667,-3,-0.133
"36","1402020136","cont",-0.25,0.166666666666667,-1,0,0.25,-0.043
"37","1402021082","exp",0,-0.5,0,0,0.5,0
